aircraft_type,name,engine_manufacturer,engine_model
AC50,500A,Continental,IO-470M
AC50,500B,Lycoming,IO-540
AC50,500B Shrike Commander,Lycoming,IO-540
AC50,500S Shrike Commander,Lycoming,IO-540
C501,501 Citation I/SP,Pratt & Whitney Canada,JT15D-1/A/B
B505,505 JetRanger X,Safran,Arrius 2R
C510,510 Citation Mustang,Pratt & Whitney Canada,PW615F
AC52,520,Lycoming,GO-435-C
C25M,525 Citation M2,Williams,FJ44-1AP-21
C525,525 CitationJet,Williams,FJ44-1A
C525,525 CitationJet CJ1,Williams,FJ44-1A
C525,525 CitationJet CJ1+,Williams,FJ44-1AP
C25A,525A CitationJet CJ2,Williams,FJ44-2C
C25A,525A CitationJet CJ2+,Williams,FJ44-3A-24
C25B,525B CitationJet CJ3,Williams,FJ44-3A
C25B,525B CitationJet CJ3+,Williams,FJ44-3A
C25B,525B Citationjet CJ3,Williams,FJ44-3A
C25C,525C CitationJet CJ4,Williams,F44-4A
LJ55,55,Garrett,TFE731-3A-2B
C550,550 Citation II,Pratt & Whitney Canada,JT15D-4B
C550,550 Citation S/II,Pratt & Whitney Canada,JT15D-4B
C55B,550B Citation Bravo,Pratt & Whitney Canada,PW530A
C551,551 Citation II/SP,Pratt & Whitney Canada,JT15D-4B
LJ55,55B,Garrett,TFE731-3A-2B
LJ55,55C,Garrett,TFE731-3A-2B
LJ55,55ER,Garrett,TFE731-3A-2B
C560,560 Citation Encore,Pratt & Whitney Canada,PW535A
C560,560 Citation Encore +,Pratt & Whitney Canada,PW535B
C560,560 Citation Encore+,Pratt & Whitney Canada,PW535B
C560,560 Citation Ultra,Pratt & Whitney Canada,JT15D-5D
C560,560 Citation V,Pratt & Whitney Canada,JT15D-5A
C560,560 Citation V ,Pratt & Whitney Canada,JT15D-5A
C56X,560 Citation XLS,Pratt & Whitney Canada,JT15D-5A
AC56,560A,Lycoming,GO-480B
AC56,560E,Lycoming,GO-480B
AC56,560F,Lycoming,IGO-540
C56X,560XL Citation Excel,Pratt & Whitney Canada,PW500
C56X,560XL Citation XLS,Pratt & Whitney Canada,PW545B
C56X,560XL Citation XLS+,Pratt & Whitney Canada,PW545C
BE56,56TC Turbo Baron,Lycoming,TIO-541-E1A4
BE58,58 Baron,Continental,IO-520-C;IO-550-C
B58T,58P Pressurized Baron,Continental,TSIO-520-L
BE58,58PA Baron,Continental,TSIO-520-L
LJ60,60,Pratt & Whitney Canada,PW305
BE60,60 Duke,Lycoming,TIO-541-E1C4
LJ60,60XR,Pratt & Whitney Canada,PW305A
BE65,65 Queen Air,Lycoming,IGSO-480
BE80,65-80 Queen Air,Lycoming,IGSO-480
BE88,65-88 Queen Air,Lycoming,IGSO-540
BE9L,65-90 King Air,Pratt & Whitney Canada,PT6A-6
BE80,65-A80 Queen Air,Pratt & Whitney Canada,PTA6-6A
BE9L,65-A90 King Air,Pratt & Whitney Canada,PTA6-20
U21,65-A90-1,Pratt & Whitney Canada,PTA6-20
BE9L,65-A90-4 King Air,Pratt & Whitney Canada,PTA6-6
BE80,65-B80 Queen Air,Lycoming,IGSO-540-A1D
C650,650 Citation III,Garrett,TFE731
C650,650 Citation VI,Garrett,TFE732
C650,650 Citation VII,Garrett,TFE733
ANSN,652A Anson C.19 Series 2,Armstrong Siddeley,Cheetah XV
ANSN,652A Anson I,Armstrong Siddeley,Cheetah IX
ANSN,652A Anson T.21,Armstrong Siddeley,Cheetah XV
C680,680 Citation Sovereign,Pratt & Whitney Canada,PW300
C680,680 Citation Sovereign+,Pratt & Whitney Canada,PW300
C68A,680A Citation Latitude,Pratt & Whitney Canada,PW300
AC68,680F,Lycoming,IGSO-540
AC6L,680FL Grand Commander,Lycoming,IGSO-540
AC68,680FP,Lycoming,IGSO-540
AC80,680T Turbo Commander,Garrett,TPE331-43
AC80,680V Turbo Commander,Garrett,TPE331-43
AC80,680W Turbo II Commander,Garrett,TPE331-43
AC68,681 Hawk Commander,Garrett,TPE331-43
AC68,681B Turbo Commander,Garrett,TPE331-43
LANC,683 Lancaster B1,Rolls Royce,Merlin 22;Merlin 24
LANC,683 Lancaster B10, Packard,Merlin 224
LANC,683 Lancaster B7,Rolls Royce,Merlin 224
AC90,690 Turbo Commander,Garrett,TPE331-5-251K
AC90,690A Turbo Commander,Garrett,TPE331-5-251K
AC90,690B Turbo Commander,Garrett,TPE331-5-251K
AC90,690C Turbo Commander,Garrett,TPE331-5-254K
AC90,690D Turbo Commander,Garrett,TPE331-5-254K
AC95,695 Jetprop Commander,Garrett,TPE331-10-501K
AC95,695A Jetprop Commander,Garrett,TPE331-10-501K
AC90,695A Turbo Commander,Garrett,TPE331-10-501K
AC95,695B Jetprop Commander,Garrett,TPE331-10-501K
SHAC,696 Shackleton MR2,Rolls Royce,VW126;VW131;VW135
BE70,70 Queen Air,Lycoming,IGSO-480
C700,700 Citation Longitude,Honeywell,HTF7000
B701,707-138B,Pratt & Whitney,JT3D-1;JT3D-1MC6;JT3D-1MC7
B703,707-321B,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7
B703,707-323C,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7;JT3D-1;JT3D-1MC6;JT3D-1MC7
B703,707-337C,Pratt & Whitney,JT3D-3;JT3D-3B;JT3D-7;JT3D-1;JT3D-1MC6;JT3D-1MC7
