icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,rate_of_climb,approach_speed,cruise_speed,maximum_speed,never_exceed_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,ferry_range,oew,auw,mlw,mrw,mtow,mzfw,type_certificate
K35R,,Boeing,KC-135 Stratotanker (CFM56 engines),L4J,H,,,,,,,,,,,,,,,,,,,,,,,,,
KC39,,Embraer,KC-390,L2J,M,,,,,,,,,,,,,,,,,,,,,,,,,
KE3,,Boeing,KE-3,L4J,H,,,,,,,,,,,,,,,,,,,,,,,,,
L10,,Lockheed,L-10 Electra,L2P,L,,,,,,,,,,,,,,,,,,,,,,,,,
L101,L10,Lockheed,L-1011 TriStar,L3J,H,,,,138,,,,,,,,,,,,,,,,,,,,,
L12,,Lockheed,L-12 Electra Junior,L2P,L,,,,,,,,,,,,,,,,,,,,,,,,,
L14,,Lockheed,L-14 Super Electra,L2P,M,,,,,,,,,,,,,,,,,,,,,,,,,
L159,,Aero Vodochody,L-159 Alca,L1J,M,,,,,,,,,,,,,,,,,,,,,,,,,
L18,,Lockheed,L-18 Lodestar,L2P,M,,,,,,,,,,,,,,,,,,,,,,,,,
L188,LOE,Lockheed,L-188 Electra,L4T,M,,,,,,,,,,,,,,,,,,,,,,,,,
L29,,Aero Vodochody,L-29 Delfin,L1J,L,,,,,,,,,,,,,,,,,,,,,,,,,
L29A,,Lockheed,L-1329 Jetstar,L4J,M,,,,132,,,,,,,,,,,,,,,,,,,,,
L29B,,Lockheed,L-1329 Jetstar II,L4J,M,,,,,,,,,,,,,,,,,,,,,,,,,
L37,,Lockheed,Ventura,L2P,M,,,,,,,,,,,,,,,,,,,,,,,,,
L39,,Aero Vodochody,L-39 Albatros,L1J,L,,,,,,,,,,,,,,,,,,,,,,,,,
L59,,Aero Vodochody,L-59 Super Albatros,L1J,L,,,,,,,,,,,,,,,,,,,,,,,,,
